Date,시가총액_전체,시가총액_외국인보유,시가총액_비율,주식수_전체,주식수_외국인보유,주식수_비율
2010-01-04,894731591,291685941,32.6,31377578,5147492,16.41
2010-01-05,891901043,291391330,32.67,31379773,5153631,16.42
2010-01-06,899645119,293999558,32.68,31381244,5162205,16.45
2010-01-07,888111374,289358488,32.58,31478674,5170900,16.43
2010-01-08,894080130,290691137,32.51,31344421,5175387,16.51
2010-01-11,893092753,289996373,32.47,31344424,5177890,16.52
2010-01-12,895743625,291069726,32.49,31349615,5176826,16.51
2010-01-13,881413532,286391176,32.49,31272445,5173320,16.54
2010-01-14,889078614,288647166,32.47,31272459,5167118,16.52
2010-01-15,897220216,290617064,32.39,31296068,5185436,16.57
2010-01-18,902436364,291755878,32.33,31327279,5195618,16.58
2010-01-19,901867203,291425201,32.31,31355919,5190494,16.55
2010-01-20,904201206,293035385,32.41,31347620,5187992,16.55
2010-01-21,908475207,295032790,32.48,31353601,5185184,16.54
2010-01-22,888759752,288000226,32.4,31354994,5183898,16.53
2010-01-25,881526818,286551694,32.51,31360616,5172366,16.49
2010-01-26,864178395,281198995,32.54,31360875,5168214,16.48
2010-01-27,857724538,278645548,32.49,31361505,5161774,16.46
2010-01-28,867754349,281700415,32.46,31411675,5155294,16.41
2010-01-29,848135732,275686283,32.5,31436695,5158270,16.41
2010-02-01,849915099,275675154,32.44,31436695,5160028,16.41
2010-02-02,844598368,274202625,32.47,31443669,5161400,16.41
2010-02-03,854639238,277242827,32.44,31444078,5161360,16.41
2010-02-04,855340684,276851423,32.37,31444175,5158439,16.41
2010-02-05,829280668,267938344,32.31,31444522,5159561,16.41
2010-02-08,821989535,265683678,32.32,31451769,5154625,16.39
2010-02-09,831079859,268841530,32.35,31451769,5150226,16.37
2010-02-10,830862388,268585676,32.33,31452596,5146385,16.36
2010-02-11,845555099,273089403,32.3,31495504,5147310,16.34
2010-02-12,843764303,272021948,32.24,31418286,5107324,16.26
2010-02-16,847620423,272963892,32.2,31418287,5096326,16.22
2010-02-17,861416895,278038463,32.28,31420088,5097908,16.22
2010-02-18,858098194,277145977,32.3,31424086,5105045,16.25
2010-02-19,843829206,272586309,32.3,31425698,5108540,16.26
2010-02-22,861245977,278255336,32.31,31425524,5104315,16.24
2010-02-23,861915058,278271947,32.29,31425784,5111505,16.27
2010-02-24,853431583,274644413,32.18,31427803,5115187,16.28
2010-02-25,840016821,269950597,32.14,31428110,5112849,16.27
2010-02-26,844069184,271192165,32.13,31428247,5104861,16.24
2010-03-02,855012037,275561449,32.23,31430195,5101843,16.23
2010-03-03,858805025,276897200,32.24,31458364,5107813,16.24
2010-03-04,856481257,276335712,32.26,31458364,5110773,16.25
2010-03-05,865070688,278949108,32.25,31458541,5113496,16.25
2010-03-08,878360420,283615636,32.29,31458541,5120542,16.28
2010-03-09,878668348,284092060,32.33,31458541,5130205,16.31
2010-03-10,879444364,284219358,32.32,31459228,5133503,16.32
2010-03-11,876471639,283450214,32.34,31355650,5131338,16.36
2010-03-12,879619926,283868295,32.27,31246755,5127766,16.41
2010-03-15,872861194,281583793,32.26,31246755,5134912,16.43
2010-03-16,872207404,281245884,32.25,31247480,5134922,16.43
2010-03-17,898281850,289001737,32.17,32026470,5227290,16.32
2010-03-18,894337232,287911452,32.19,32030981,5233853,16.34
2010-03-19,900179889,290158199,32.23,32036834,5238816,16.35
2010-03-22,892991672,287848067,32.23,32036834,5243528,16.37
2010-03-23,897943271,289965356,32.29,32037688,5243025,16.37
2010-03-24,897679347,290585976,32.37,32038474,5246017,16.37
2010-03-25,901685866,292240982,32.41,32043505,5249591,16.38
2010-03-26,906670913,293906437,32.42,32045761,5250956,16.39
2010-03-29,903702256,293261492,32.45,32046398,5255611,16.4
2010-03-30,908044975,294824876,32.47,32048282,5260060,16.41
2010-03-31,903948740,293638505,32.48,32054565,5267990,16.43
2010-04-01,918784010,299151027,32.56,32087752,5276369,16.44
2010-04-02,921271108,301482549,32.72,32090423,5283188,16.46
2010-04-05,922456412,303829696,32.94,32092569,5294420,16.5
