Date,종가,시가,고가,저가,거래량,변동 %
2013-08-06,"1,215.41","1,224.29","1,224.78","1,210.97",,-1.02
2013-08-07,"1,199.14","1,207.77","1,211.71","1,197.91",,-1.34
2013-08-08,"1,200.37","1,203.33","1,211.22","1,197.17",,0.1
2013-08-09,"1,203.82","1,199.39","1,204.81","1,194.95",,0.29
2013-08-12,"1,204.56","1,196.92","1,209.49","1,196.43",,0.06
2013-08-13,"1,223.30","1,209.25","1,223.79","1,205.55",,1.56
2013-08-14,"1,231.19","1,222.56","1,231.93","1,221.33",,0.64
2013-08-16,"1,228.72","1,216.40","1,236.37","1,215.41",,-0.2
2013-08-19,"1,228.72","1,226.26","1,228.72","1,220.59",,0.0
2013-08-20,"1,209.25","1,221.33","1,233.65","1,209.00",,-1.58
2013-08-21,"1,192.24","1,209.25","1,212.70","1,192.24",,-1.41
2013-08-22,"1,185.58","1,182.37","1,189.77","1,176.46",,-0.56
2013-08-23,"1,198.65","1,190.51","1,201.85","1,186.32",,1.1
2013-08-26,"1,210.97","1,202.84","1,214.92","1,201.85",,1.03
2013-08-27,"1,210.23","1,207.77","1,216.40","1,205.80",,-0.06
2013-08-28,"1,211.22","1,196.67","1,211.71","1,194.45",,0.08
2013-08-29,"1,231.68","1,213.68","1,234.39","1,213.68",,1.69
2013-08-30,"1,237.35","1,237.10","1,240.80","1,229.71",,0.46
2013-09-02,"1,241.79","1,241.05","1,247.21","1,237.35",,0.36
2013-09-03,"1,245.49","1,245.98","1,251.16","1,243.02",,0.3
2013-09-04,"1,244.01","1,241.05","1,248.20","1,235.38",,-0.12
2013-09-05,"1,258.55","1,249.43","1,261.51","1,246.23",,1.17
2013-09-06,"1,263.24","1,258.55","1,266.94","1,255.59",,0.37
2013-09-09,"1,272.37","1,268.96","1,276.01","1,265.54",,0.72
2013-09-10,"1,285.99","1,274.78","1,287.55","1,274.53",,1.07
2013-09-11,"1,291.53","1,289.13","1,294.13","1,284.74",,0.43
2013-09-12,"1,291.54","1,297.69","1,306.49","1,287.97",,0.0
2013-09-13,"1,287.63","1,288.85","1,297.42","1,285.18",,-0.3
2013-09-16,"1,299.37","1,303.78","1,307.69","1,297.90",,0.91
2013-09-17,"1,293.01","1,295.21","1,297.90","1,288.61",,-0.49
2013-09-23,"1,296.68","1,288.36","1,304.27","1,283.96",,0.28
2013-09-24,"1,295.46","1,289.83","1,297.42","1,285.43",,-0.09
2013-09-25,"1,287.38","1,295.70","1,295.70","1,283.96",,-0.62
2013-09-26,"1,299.86","1,282.73","1,299.86","1,282.24",,0.97
2013-09-27,"1,298.15","1,299.86","1,300.60","1,293.99",,-0.13
2013-09-30,"1,287.38","1,288.85","1,295.70","1,283.22",,-0.83
2013-10-01,"1,289.58","1,289.58","1,300.11","1,286.16",,0.17
2013-10-02,"1,291.05","1,297.90","1,299.37","1,289.58",,0.11
2013-10-04,"1,288.85","1,289.58","1,293.50","1,280.04",,-0.17
2013-10-07,"1,287.87","1,285.91","1,293.01","1,285.18",,-0.08
2013-10-08,"1,295.21","1,284.45","1,295.21","1,278.33",,0.57
2013-10-10,"1,290.56","1,292.77","1,298.88","1,287.38",,-0.36
2013-10-11,"1,314.54","1,301.09","1,315.28","1,297.66",,1.86
2013-10-14,"1,312.59","1,312.34","1,315.28","1,308.92",,-0.15
2013-10-15,"1,323.11","1,321.89","1,328.74","1,319.68",,0.8
2013-10-16,"1,324.33","1,327.27","1,332.65","1,322.38",,0.09
2013-10-17,"1,328.98","1,333.14","1,334.86","1,325.80",,0.35
2013-10-18,"1,335.83","1,334.37","1,336.32","1,330.70",,0.52
2013-10-21,"1,335.59","1,337.06","1,340.24","1,335.10",,-0.02
2013-10-22,"1,335.10","1,334.12","1,337.06","1,330.94",,-0.04
2013-10-23,"1,318.46","1,338.77","1,340.48","1,318.46",,-1.25
2013-10-24,"1,324.82","1,319.44","1,325.31","1,315.77",,0.48
2013-10-25,"1,312.34","1,323.35","1,323.35","1,307.94",,-0.94
2013-10-28,"1,326.29","1,318.22","1,327.02","1,316.01",,1.06
2013-10-29,"1,331.18","1,323.84","1,333.88","1,319.19",,0.37
2013-10-30,"1,335.34","1,334.37","1,336.57","1,325.07",,0.31
2013-10-31,"1,315.77","1,328.25","1,331.43","1,314.54",,-1.47
2013-11-01,"1,318.95","1,318.46","1,320.91","1,315.52",,0.24
2013-11-04,"1,306.71","1,315.28","1,315.77","1,306.71",,-0.93
2013-11-05,"1,300.11","1,309.65","1,310.87","1,297.17",,-0.51
2013-11-06,"1,299.86","1,298.15","1,305.74","1,297.42",,-0.02
2013-11-07,"1,289.58","1,296.68","1,299.86","1,287.87",,-0.79
2013-11-08,"1,278.33","1,280.04","1,286.89","1,278.33",,-0.87
2013-11-11,"1,280.78","1,283.22","1,284.20","1,275.88",,0.19
2013-11-12,"1,289.34","1,280.53","1,292.28","1,280.04",,0.67
2013-11-13,"1,265.11","1,286.16","1,286.65","1,263.65",,-1.88
2013-11-14,"1,270.99","1,275.64","1,276.62","1,264.63",,0.46
2013-11-15,"1,295.70","1,277.59","1,297.90","1,277.59",,1.94
2013-11-18,"1,299.86","1,302.55","1,302.55","1,296.19",,0.32
2013-11-19,"1,314.54","1,296.19","1,318.95","1,296.19",,1.13
2013-11-20,"1,306.22","1,311.85","1,313.57","1,301.82",,-0.63
2013-11-21,"1,283.22","1,300.60","1,300.60","1,278.08",,-1.76
2013-11-22,"1,291.05","1,288.61","1,299.13","1,283.47",,0.61
2013-11-25,"1,303.29","1,305.00","1,314.30","1,301.58",,0.95
2013-11-26,"1,308.18","1,292.03","1,308.67","1,285.67",,0.38
2013-11-27,"1,310.63","1,298.64","1,312.10","1,294.48",,0.19
2013-11-28,"1,321.40","1,321.15","1,327.02","1,319.19",,0.82
2013-11-29,"1,322.13","1,322.13","1,328.74","1,320.17",,0.06
2013-12-02,"1,313.08","1,324.09","1,329.23","1,310.87",,-0.68
2013-12-03,"1,296.44","1,305.25","1,308.67","1,295.46",,-1.27
2013-12-04,"1,279.80","1,289.10","1,293.50","1,279.55",,-1.28
2013-12-05,"1,275.88","1,281.02","1,282.00","1,266.83",,-0.31
2013-12-06,"1,278.33","1,274.41","1,281.75","1,273.43",,0.19
2013-12-09,"1,291.76","1,290.67","1,293.94","1,286.86",,1.05
2013-12-10,"1,284.29","1,288.29","1,289.39","1,283.21",,-0.58
2013-12-11,"1,269.83","1,278.83","1,291.18","1,268.42",,-1.13
2013-12-12,"1,262.68","1,263.78","1,268.57","1,257.87",,-0.56
2013-12-13,"1,260.72","1,260.72","1,263.91","1,250.17",,-0.16
2013-12-16,"1,261.70","1,257.53","1,265.87","1,254.10",,0.08
2013-12-17,"1,269.31","1,273.48","1,275.69","1,264.65",,0.6
2013-12-18,"1,275.93","1,271.27","1,279.12","1,266.86",,0.52
2013-12-19,"1,273.23","1,290.66","1,291.15","1,268.08",,-0.21
2013-12-20,"1,279.61","1,273.23","1,282.31","1,272.01",,0.5
2013-12-23,"1,291.39","1,285.26","1,293.11","1,283.30",,0.92
2013-12-24,"1,293.36","1,292.13","1,298.02","1,288.94",,0.15
2013-12-26,"1,291.15","1,294.83","1,299.00","1,290.41",,-0.17
2013-12-27,"1,302.68","1,294.09","1,304.40","1,289.92",,0.89
2013-12-30,"1,303.66","1,305.38","1,306.85","1,300.72",,0.08
2014-01-02,"1,268.08","1,307.34","1,307.34","1,268.08",,-2.73
2014-01-03,"1,252.62","1,266.36","1,267.10","1,246.49",,-1.22
2014-01-06,"1,255.57","1,253.11","1,265.38","1,250.17",,0.24
2014-01-07,"1,261.46","1,253.36","1,266.36","1,251.89",,0.47
2014-01-08,"1,260.23","1,264.65","1,267.59","1,253.11",,-0.1
2014-01-09,"1,253.85","1,261.21","1,262.68","1,252.38",,-0.51
2014-01-10,"1,243.54","1,251.40","1,258.27","1,237.90",,-0.82
2014-01-13,"1,253.61","1,247.47","1,254.34","1,245.51",,0.81
2014-01-14,"1,251.15","1,247.96","1,262.44","1,242.81",,-0.2
2014-01-15,"1,255.57","1,256.79","1,258.02","1,249.19",,0.35
2014-01-16,"1,258.02","1,256.06","1,262.19","1,254.59",,0.2
2014-01-17,"1,246.49","1,256.30","1,259.49","1,245.02",,-0.92
2014-01-20,"1,256.79","1,245.26","1,257.29","1,238.88",,0.83
2014-01-21,"1,265.63","1,256.55","1,265.63","1,252.38",,0.7
2014-01-22,"1,264.40","1,261.70","1,265.38","1,259.49",,-0.1
2014-01-23,"1,249.43","1,264.65","1,264.89","1,248.94",,-1.18
2014-01-24,"1,243.54","1,242.81","1,246.98","1,234.96",,-0.47
2014-01-27,"1,227.84","1,223.18","1,233.24","1,218.52",,-1.26
2014-01-28,"1,232.99","1,226.12","1,233.73","1,222.69",,0.42
2014-01-29,"1,248.94","1,236.67","1,248.94","1,236.18",,1.29
2014-02-03,"1,230.79","1,240.11","1,240.60","1,226.61",,-1.45
2014-02-04,"1,207.48","1,212.87","1,214.10","1,203.55",,-1.89
2014-02-05,"1,209.93","1,211.65","1,214.84","1,205.27",,0.2
2014-02-06,"1,219.01","1,215.57","1,225.39","1,215.57",,0.75
2014-02-07,"1,229.31","1,229.56","1,232.50","1,222.69",,0.84
2014-02-10,"1,230.79","1,235.20","1,235.20","1,225.63",,0.12
2014-02-11,"1,235.69","1,228.82","1,239.86","1,226.37",,0.4
2014-02-12,"1,240.11","1,241.58","1,246.49","1,237.17",,0.36
2014-02-13,"1,228.58","1,240.60","1,245.26","1,228.33",,-0.93
2014-02-14,"1,245.51","1,233.98","1,249.68","1,232.50",,1.38
2014-02-17,"1,246.00","1,252.13","1,255.81","1,245.02",,0.04
2014-02-18,"1,246.49","1,245.26","1,250.17","1,236.67",,0.04
2014-02-19,"1,237.66","1,242.56","1,242.56","1,232.75",,-0.71
2014-02-20,"1,233.24","1,231.03","1,241.34","1,228.58",,-0.36
2014-02-21,"1,250.91","1,242.81","1,252.62","1,242.81",,1.43
2014-02-24,"1,248.70","1,250.91","1,254.59","1,244.28",,-0.18
2014-02-25,"1,257.78","1,254.83","1,260.97","1,251.89",,0.73
2014-02-26,"1,262.44","1,256.06","1,264.16","1,253.61",,0.37
2014-02-27,"1,264.65","1,259.98","1,265.87","1,257.53",,0.18
2014-02-28,"1,263.67","1,265.38","1,270.78","1,262.19",,-0.08
2014-03-03,"1,255.57","1,255.57","1,257.53","1,248.21",,-0.64
2014-03-04,"1,255.57","1,251.15","1,255.57","1,249.68",,0.0
2014-03-05,"1,261.70","1,263.42","1,268.57","1,261.70",,0.49
2014-03-06,"1,264.16","1,263.67","1,265.38","1,261.70",,0.19
2014-03-07,"1,262.19","1,268.57","1,270.29","1,257.04",,-0.16
2014-03-10,"1,245.33","1,254.91","1,255.63","1,245.12",,-1.34
2014-03-11,"1,251.70","1,247.47","1,251.70","1,245.45",,0.51
2014-03-12,"1,229.71","1,244.76","1,245.62","1,229.21",,-1.76
2014-03-13,"1,235.02","1,234.19","1,238.44","1,228.43",,0.43
2014-03-14,"1,220.38","1,218.43","1,224.04","1,215.99",,-1.19
2014-03-17,"1,226.48","1,219.65","1,226.48","1,218.18",,0.5
2014-03-18,"1,233.80","1,235.02","1,239.17","1,226.97",,0.6
2014-03-19,"1,234.29","1,240.14","1,241.36","1,231.60",,0.04
2014-03-20,"1,218.43","1,228.92","1,229.90","1,217.45",,-1.28
2014-03-21,"1,229.65","1,223.31","1,229.65","1,222.09",,0.92
2014-03-24,"1,235.75","1,230.38","1,240.39","1,230.38",,0.5
2014-03-25,"1,234.53","1,233.31","1,238.68","1,230.63",,-0.1
2014-03-26,"1,251.86","1,242.83","1,253.57","1,242.83",,1.4
2014-03-27,"1,256.98","1,251.13","1,260.40","1,250.88",,0.41
2014-03-28,"1,258.20","1,257.23","1,265.77","1,256.49",,0.1
2014-03-31,"1,261.13","1,264.55","1,266.74","1,257.71",,0.23
2014-04-01,"1,268.21","1,261.86","1,270.89","1,256.74",,0.56
2014-04-02,"1,270.89","1,273.58","1,273.82","1,269.18",,0.21
2014-04-03,"1,272.11","1,271.14","1,280.65","1,269.92",,0.1
2014-04-04,"1,275.77","1,270.89","1,278.70","1,270.16",,0.29
2014-04-07,"1,271.14","1,271.14","1,275.53","1,266.26",,-0.36
2014-04-08,"1,281.39","1,267.72","1,281.39","1,266.74",,0.81
2014-04-09,"1,280.65","1,282.12","1,284.80","1,279.19",,-0.06
2014-04-10,"1,282.12","1,286.75","1,288.71","1,280.17",,0.11
2014-04-11,"1,272.84","1,272.84","1,275.77","1,268.70",,-0.72
2014-04-14,"1,276.75","1,272.11","1,279.68","1,271.87",,0.31
2014-04-15,"1,271.87","1,281.63","1,282.36","1,268.70",,-0.38
2014-04-16,"1,275.77","1,269.67","1,276.50","1,264.79",,0.31
2014-04-17,"1,272.36","1,278.70","1,279.43","1,269.18",,-0.27
2014-04-18,"1,281.14","1,278.95","1,284.31","1,277.72",,0.69
2014-04-21,"1,280.41","1,282.12","1,282.36","1,275.53",,-0.06
2014-04-22,"1,280.17","1,278.46","1,282.85","1,271.62",,-0.02
2014-04-23,"1,277.24","1,283.09","1,286.02","1,276.50",,-0.23
2014-04-24,"1,275.04","1,281.63","1,283.09","1,274.80",,-0.17
2014-04-25,"1,257.23","1,274.31","1,276.02","1,256.49",,-1.4
2014-04-28,"1,257.23","1,254.30","1,261.86","1,254.30",,0.0
2014-04-29,"1,252.35","1,259.18","1,259.91","1,250.64",,-0.39
2014-04-30,"1,246.49","1,256.25","1,257.47","1,245.27",,-0.47
